VA;ES0000000001;FINAFUND IBERIAN;EUR;RENTA VARIABLE
VA;ES0000000002;FINAFUND EUROPEAN;EUR;RENTA FIJA
VL;ES0000000001;20000101;100
VL;ES0000000001;20000102;100,01
VL;ES0000000001;20000101;100,01
VL;ES0000000001;20000102;100
VL;ES0000000001;20000103;100
VL;ES0000000001;20000104;100
VL;ES0000000001;20000105;100,01
VL;ES0000000001;20000106;100,02
VL;ES0000000001;20000107;100,01
VL;ES0000000001;20000108;100
VL;ES0000000001;20000109;100,01
VL;ES0000000001;20000110;100
VL;ES0000000001;20000111;100
VL;ES0000000001;20000112;100,01
VL;ES0000000001;20000113;100,01
VL;ES0000000001;20000114;100,02
VL;ES0000000001;20000115;100,02
VL;ES0000000001;20000116;100,01
VL;ES0000000001;20000117;100,02
VL;ES0000000001;20000118;100,01
VL;ES0000000001;20000119;100
VL;ES0000000001;20000120;100,01
VL;ES0000000001;20000121;100
VL;ES0000000001;20000122;99,99
VL;ES0000000001;20000123;99,99
VL;ES0000000001;20000124;99,99
VL;ES0000000001;20000125;99,99
VL;ES0000000001;20000126;99,98
VL;ES0000000001;20000127;99,99
VL;ES0000000001;20000128;99,99
VL;ES0000000001;20000129;99,99
VL;ES0000000001;20000130;99,98
VL;ES0000000001;20000131;99,99
VL;ES0000000001;20000201;99,98
VL;ES0000000001;20000202;99,99
VL;ES0000000001;20000203;99,99
VL;ES0000000001;20000204;99,99
VL;ES0000000001;20000205;99,99
VL;ES0000000001;20000206;99,99
VL;ES0000000001;20000207;100
VL;ES0000000001;20000208;99,99
VL;ES0000000001;20000209;99,98
VL;ES0000000001;20000210;99,99
VL;ES0000000001;20000211;99,99
VL;ES0000000001;20000212;100
VL;ES0000000001;20000213;99,99
VL;ES0000000001;20000214;100
VL;ES0000000001;20000215;99,99
VL;ES0000000001;20000216;99,99
VL;ES0000000001;20000217;100
VL;ES0000000001;20000218;99,99
VL;ES0000000001;20000219;99,99
VL;ES0000000001;20000220;100
VL;ES0000000001;20000221;99,99
VL;ES0000000001;20000222;99,98
VL;ES0000000001;20000223;99,99
